poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
Unavailable-4121,", , FRA3151.1",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA3151.1"
Unavailable-4121,", , FRA3151.1",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA3151.1"
Unavailable-4122,", , FRA3151.1",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA3151.1"
Unavailable-4122,", , FRA3151.1",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA3151.1"
Unavailable-4151,", , FRA4011.73",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , FRA4011.73"
Unavailable-4151,", , FRA4011.73",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , FRA4011.73"
Unavailable-4152,", , FRA4011.82",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , FRA4011.82"
Unavailable-4152,", , FRA4011.82",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , FRA4011.82"
Unavailable-4184,", , FRA621.4",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA621.4"
Unavailable-4184,", , FRA621.4",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA621.4"
Unavailable-4185,", , FRA6213.82",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA6213.82"
Unavailable-4185,", , FRA6213.82",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA6213.82"
Unavailable-4186,", , FRA3150.36",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.36"
Unavailable-4186,", , FRA3150.36",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.36"
Unavailable-4187,", , FRA3150.87",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.87"
Unavailable-4187,", , FRA3150.87",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.87"
Unavailable-4188,", , FRA621.34",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA621.34"
Unavailable-4188,", , FRA621.34",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA621.34"
Unavailable-4189,", , FRA6213.79",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA6213.79"
Unavailable-4189,", , FRA6213.79",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA6213.79"
Unavailable-4190,", , FRA3150.36",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.36"
Unavailable-4190,", , FRA3150.36",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.36"
Unavailable-4191,", , FRA3150.87",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.87"
Unavailable-4191,", , FRA3150.87",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , FRA3150.87"
