forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,97237-4827,Opening Year,00:00:00,24:00,volume,20650
f3,1,97237-4827,Design Year,00:00:00,24:00,volume,25610
f1,1,97237-4828,Opening Year,00:00:00,24:00,volume,21520
f3,1,97237-4828,Design Year,00:00:00,24:00,volume,27030
f1,1,97237-4829,Opening Year,00:00:00,24:00,volume,26790
f3,1,97237-4829,Design Year,00:00:00,24:00,volume,32290
f1,1,97237-4830,Opening Year,00:00:00,24:00,volume,20640
f3,1,97237-4830,Design Year,00:00:00,24:00,volume,24760
f1,1,97237-4831,Opening Year,00:00:00,24:00,volume,9340
f3,1,97237-4831,Design Year,00:00:00,24:00,volume,11070
