poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
DEIS TH 610/TH 252-8722.0," , TH 610East of West River Rd.West of East River Rd.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 610East of West River Rd.West of East River Rd.EB"
DEIS TH 610/TH 252-8723.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8724.0," , TH 252South of TH 610North of 85th Ave.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 252South of TH 610North of 85th Ave.NB"
DEIS TH 610/TH 252-8725.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
DEIS TH 610/TH 252-8726.0," , TH 252South of 85th Ave.North of Brookdale Dr.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 252South of 85th Ave.North of Brookdale Dr.NB"
DEIS TH 610/TH 252-8727.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
DEIS TH 610/TH 252-8728.0," , TH 252South of Brookdale Dr.North of 73rd Ave.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 252South of Brookdale Dr.North of 73rd Ave.NB"
DEIS TH 610/TH 252-8729.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
DEIS TH 610/TH 252-8730.0," , TH 252South of 73rd Ave.North of I-94-694NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 252South of 73rd Ave.North of I-94-694NB"
DEIS TH 610/TH 252-8731.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
DEIS TH 610/TH 252-8732.0," , I-94South of Brockton Ave.North of 101st Ave.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94South of Brockton Ave.North of 101st Ave.EB"
DEIS TH 610/TH 252-8733.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8734.0," , I-94South of 101st Ave.North of 93rd Ave.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94South of 101st Ave.North of 93rd Ave.EB"
DEIS TH 610/TH 252-8735.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8736.0," , I-94South of 93rd Ave.North of Zachary Lane (Weaver Lake Rd.)EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94South of 93rd Ave.North of Zachary Lane (Weaver Lake Rd.)EB"
DEIS TH 610/TH 252-8737.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8738.0," , I-94South of Zachary Lane (Weaver Lake Rd.)North of I-494EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94South of Zachary Lane (Weaver Lake Rd.)North of I-494EB"
DEIS TH 610/TH 252-8739.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8740.0," , I-94East of I-494West of CSAH 18(US-169)EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East of I-494West of CSAH 18(US-169)EB"
DEIS TH 610/TH 252-8741.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8742.0," , I-94East of CSAH 18(US-169)West of TH 52 (CR-81)EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East of CSAH 18(US-169)West of TH 52 (CR-81)EB"
DEIS TH 610/TH 252-8743.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8744.0," , I-94East of Zane Ave.West of TH 152(Brooklyn Blvd)EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East of Zane Ave.West of TH 152(Brooklyn Blvd)EB"
DEIS TH 610/TH 252-8745.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8746.0," , I-94East of Xeres Ave.West of TH 100EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East of Xeres Ave.West of TH 100EB"
DEIS TH 610/TH 252-8747.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8748.0," , I-94East of TH 100West of I-94EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East of TH 100West of I-94EB"
DEIS TH 610/TH 252-8749.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8750.0," , I-694East of I-94West of East River Rd.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East of I-94West of East River Rd.EB"
DEIS TH 610/TH 252-8751.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8752.0," , I-694East of East River Rd.West of TH 47EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East of East River Rd.West of TH 47EB"
DEIS TH 610/TH 252-8753.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8754.0," , I-694East of TH 47West of TH 65EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East of TH 47West of TH 65EB"
DEIS TH 610/TH 252-8755.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
DEIS TH 610/TH 252-8756.0," , I-694East of TH 65EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East of TH 65EB"
DEIS TH 610/TH 252-8757.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
