poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TA-M337-6816.0," , TH 100South of TH 81NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100South of TH 81NB"
TA-M337-6817.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6818.0," , TH 100Between TH 81 RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between TH 81 RampsNB"
TA-M337-6819.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6820.0," , TH 100TH 81FranceNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100TH 81FranceNB"
TA-M337-6821.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6822.0," , TH 100Between France Ave RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between France Ave RampsNB"
TA-M337-6823.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6824.0," , TH 100FranceCSAH 152NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100FranceCSAH 152NB"
TA-M337-6825.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6826.0," , TH 100Between CSAH 152 RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between CSAH 152 RampsNB"
TA-M337-6827.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6828.0," , TH 100CSAH 152CSAH 10NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100CSAH 152CSAH 10NB"
TA-M337-6829.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6830.0," , TH 100North of CSAH 10NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100North of CSAH 10NB"
TA-M337-6831.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6832.0," , TH 100South of CSAH 66NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100South of CSAH 66NB"
TA-M337-6833.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6834.0," , TH 100Between CSAH 66 RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between CSAH 66 RampsNB"
TA-M337-6835.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6836.0," , TH 100CSAH 6636th StNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100CSAH 6636th StNB"
TA-M337-6837.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6838.0," , TH 100Between CSAH 66 RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between CSAH 66 RampsNB"
TA-M337-6839.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6840.0," , TH 10036th St42nd StNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 10036th St42nd StNB"
TA-M337-6841.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6842.0," , TH 100Between 42nd St RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between 42nd St RampsNB"
TA-M337-6843.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6844.0," , TH 100North of 42nd StNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100North of 42nd StNB"
TA-M337-6845.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6846.0," , TH 100TH 394CSAH 40NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100TH 394CSAH 40NB"
TA-M337-6847.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6848.0," , TH 100Between CSAH 40 RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between CSAH 40 RampsNB"
TA-M337-6849.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6850.0," , TH 100CSAH 40TH 55NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100CSAH 40TH 55NB"
TA-M337-6851.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6852.0," , TH 100Between TH 55 RampsNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100Between TH 55 RampsNB"
TA-M337-6853.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M337-6854.0," , TH 100North of TH 55NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 100North of TH 55NB"
TA-M337-6855.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
