poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TAS3082-14-8133,   I-94East Of 6th StreetWest Of Mounds Boulevard/Hoffman AvenueEB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East Of 6th StreetWest Of Mounds Boulevard/Hoffman AvenueEB
TAS3082-14-8134,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
TAS3082-14-8135,   I-94East Of Mounds Boulevard/Hoffman AvenueWest Of Earl StreetEB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East Of Mounds Boulevard/Hoffman AvenueWest Of Earl StreetEB
TAS3082-14-8136,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
TAS3082-14-8137,   I-94East Of US61/10West Of White Bear AveEB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East Of US61/10West Of White Bear AveEB
TAS3082-14-8138,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
TAS3082-14-8139,   I-94East Of White Bear AvenueWest Of Ruth StreetEB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East Of White Bear AvenueWest Of Ruth StreetEB
TAS3082-14-8140,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
TAS3082-14-8141,   I-94East Of Ruth StreetWest Of McKnight RoadEB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East Of Ruth StreetWest Of McKnight RoadEB
TAS3082-14-8142,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
TAS3082-14-8143,   I-94East Of McKnight RoadWest Of TH120EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East Of McKnight RoadWest Of TH120EB
TAS3082-14-8144,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
TAS3082-14-8145,   I-94East Of TH 120West OF I-494/694EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East Of TH 120West OF I-494/694EB
TAS3082-14-8146,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
TAS3082-14-8147,   I-94Between I-494/694EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94Between I-494/694EB
TAS3082-14-8148,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
